id,ghg_emissions_perc,parent,sector
Road,11.9,Transport,Transport
Aviation,1.9,Transport,Transport
Rail,0.4,Transport,Transport
Pipeline,0.3,Transport,Transport
Ship,1.7,Transport,Transport
Residential,10.9,Buildings,Buildings
Commercial,6.6,Buildings,Buildings
Iron & Steel,7.2,Industry,Industry
Metals,0.7,Industry,Industry
Machinery,0.5,Industry,Industry
Food,1,Industry,Industry
Paper,0.6,Industry,Industry
Chemicals,5.8,Industry,Industry
Other industry,6.9,Industry,Industry
Digital tech,3.7,Industry,Industry
Agriculture,1.7,Land-Use,Land-Use
Other,7.8,Energy,Energy
Coal,1.9,Energy,Energy
Oil,3.9,Energy,Energy
Cement,3,Industry,Industry
Livestock,5.8,Land-Use,Land-Use
Rice growing,1.3,Land-Use,Land-Use
Fertilizers,4.1,Land-Use,Land-Use
Crop burning,3.5,Land-Use,Land-Use
Deforestation,2.2,Land-Use,Land-Use
Cropland,1.5,Land-Use,Land-Use
Landfills,1.9,Waste,Waste
Wastewater,1.3,Waste,Waste
Transport,16.2,Emissions,
Buildings,17.5,Emissions,
Industry,29.4,Emissions,
Land-Use,20.1,Emissions,
Waste,3.2,Emissions,
Energy,13.6,Emissions,
Emissions,100,,
